,id_mutation,valeur_fonciere,surface_terrain,nature_mutation,type_local,code_departement,date_mutation,longitude,latitude,code_commune
0,2022-1012445,369900.0,720.0,Vente,Maison,77,2022-01-03,2.623259,48.689175,77053
1,2022-1012450,727530.0,181.0,Vente,Maison,77,2022-01-06,2.696749,48.4068,77186
2,2022-1012451,355000.0,500.0,Vente,Maison,77,2022-01-07,2.612142,48.50943,77152
3,2022-1012451,355000.0,662.0,Vente,Maison,77,2022-01-07,2.612142,48.50943,77152
6,2022-1012454,364500.0,225.0,Vente,Maison,77,2022-01-07,2.61254,48.563936,77495
7,2022-1012456,390000.0,618.0,Vente,Maison,77,2022-01-03,2.557946,48.670272,77122
8,2022-1012457,457800.0,496.0,Vente,Maison,77,2022-01-07,2.787701,48.565875,77034
9,2022-1012459,275000.0,170.0,Vente,Maison,77,2022-01-05,2.564658,48.655919,77122
10,2022-1012461,265000.0,161.0,Vente,Maison,77,2022-01-10,2.625794,48.544532,77285
11,2022-1012463,620000.0,557.0,Vente,Maison,77,2022-01-07,2.684238,48.776844,77350
16,2022-1012477,300000.0,500.0,Vente,Maison,77,2022-01-06,2.664908,48.569707,77528
19,2022-1012484,338000.0,500.0,Vente,Maison,77,2022-01-07,2.597933,48.525099,77039
23,2022-1012491,351250.0,661.0,Vente,Maison,77,2022-01-10,2.685617,48.558959,77394
24,2022-1012493,305000.0,504.0,Vente,Maison,77,2022-01-11,2.563248,48.410373,77006
25,2022-1012505,310000.0,186.0,Vente,Maison,77,2022-01-07,2.536703,48.459752,77065
26,2022-1012508,260000.0,682.0,Vente,Maison,77,2022-01-04,2.679923,48.272385,77431
29,2022-1012511,320000.0,250.0,Vente,Maison,77,2022-01-11,2.550603,48.627384,77251
30,2022-1012514,350000.0,421.0,Vente,Maison,77,2022-01-04,2.623358,48.803592,77373
31,2022-1012517,358300.0,626.0,Vente,Maison,77,2022-01-12,2.643925,48.544707,77285
32,2022-1012518,315000.0,360.0,Vente,Maison,77,2022-01-10,2.514468,48.529917,77407
33,2022-1012522,378098.0,351.0,Vente,Maison,77,2022-01-12,2.69277,48.486056,77096
35,2022-1012530,275000.0,226.0,Vente,Maison,77,2022-01-06,2.555912,48.602393,77445
36,2022-1012531,338000.0,539.0,Vente,Maison,77,2022-01-06,2.544701,48.607719,77445
37,2022-1012532,388000.0,290.0,Vente,Maison,77,2022-01-07,2.701933,48.799382,77374
38,2022-1012533,316000.0,440.0,Vente,Maison,77,2022-01-07,2.578145,48.715368,77450
39,2022-1012542,270000.0,241.0,Vente,Maison,77,2022-01-06,2.621559,48.5975,77384
40,2022-1012543,285000.0,499.0,Vente,Maison,77,2022-01-12,2.558269,48.603362,77445
44,2022-1012555,217000.0,300.0,Vente,Maison,77,2022-01-12,2.680928,48.551304,77394
46,2022-1012559,328700.0,279.0,Vente,Maison,77,2022-01-14,2.564788,48.500605,77040
47,2022-1012559,328700.0,500.0,Vente,Maison,77,2022-01-14,2.564788,48.500605,77040
48,2022-1012562,508500.0,268.0,Vente,Maison,77,2022-01-14,2.634738,48.656828,77175
49,2022-1012562,508500.0,500.0,Vente,Maison,77,2022-01-14,2.634738,48.656828,77175
51,2022-1012565,231000.0,410.0,Vente,Maison,77,2022-01-15,2.874284,48.174417,77168
52,2022-1012565,231000.0,500.0,Vente,Maison,77,2022-01-15,2.874284,48.174417,77168
53,2022-1012566,515000.0,250.0,Vente,Maison,77,2022-01-07,2.517361,48.389604,77339
56,2022-1012569,395550.0,298.0,Vente,Maison,77,2022-01-11,2.681273,48.512971,77255
57,2022-1012570,400000.0,253.0,Vente,Maison,77,2022-01-15,2.725548,48.740032,77215
58,2022-1012571,640000.0,512.0,Vente,Maison,77,2022-01-14,2.748942,48.448866,77441
61,2022-1012577,415000.0,538.0,Vente,Maison,77,2022-01-17,2.546706,48.638554,77251
63,2022-1012586,339900.0,360.0,Vente,Maison,77,2022-01-07,2.714054,48.734788,77215
64,2022-1012591,405000.0,510.0,Vente,Maison,77,2022-01-14,2.616941,48.567899,77495
65,2022-1012593,548000.0,341.0,Vente,Maison,77,2022-01-11,2.609291,48.743925,77249
