,code_commune,mean,median
0,77001,1217.4653846153847,880.0
1,77002,933.5357142857143,570.0
2,77004,1267.8966666666668,653.0
3,77005,1176.6828,1131.93
4,77006,937.63,916.04
5,77007,483.405,483.405
6,77008,629.2371428571429,613.55
7,77010,991.5605555555555,580.36
8,77011,821.4680000000001,582.09
9,77013,600.0,600.0
10,77014,1368.6076923076923,1065.77
11,77015,288.46,288.46
12,77016,874.901111111111,538.66
13,77018,1602.1628947368422,1480.865
14,77019,545.49125,506.15
15,77020,665.1307692307693,660.0
16,77022,1507.015,1088.2450000000001
17,77023,842.8316666666666,805.4449999999999
18,77024,531.5425,512.0
19,77025,431.8066666666667,446.93
20,77026,543.415,543.415
21,77029,991.7750000000001,991.7750000000001
22,77030,542.322,448.05
23,77031,707.684,662.765
24,77032,758.1142857142858,839.29
25,77034,992.2566666666667,903.835
26,77035,1050.1633333333332,685.46
27,77037,1580.64,1316.67
28,77038,738.658,677.63
29,77039,951.9084210526315,880.0
30,77040,694.8159259259259,657.4
31,77041,1008.2950000000001,1008.2950000000001
32,77042,735.4466666666667,614.1600000000001
33,77043,847.185,847.185
34,77044,658.5055555555556,516.0
35,77045,404.345,404.345
36,77046,735.765,551.12
37,77047,894.8451724137932,800.6
38,77048,1219.6782758620689,1093.75
39,77049,937.6842105263158,810.0
40,77050,438.375,438.375
41,77051,502.9472727272727,444.44
42,77052,932.39,913.09
43,77053,1139.9154081632653,1086.35
44,77054,571.3475,581.575
45,77055,1148.4113636363636,1041.9650000000001
46,77057,531.0649999999999,507.195
47,77058,1791.1277477477477,1505.38
48,77059,1121.285,1189.35
49,77060,762.386,778.99
50,77061,758.8558333333334,487.475
51,77062,993.78,993.78
52,77063,1228.9630000000002,1237.115
53,77065,973.296875,890.9100000000001
54,77066,649.7266666666666,695.27
55,77067,1145.702142857143,1118.6750000000002
56,77069,1103.7333333333333,1110.125
57,77070,625.888,519.595
58,77071,357.42,345.84
59,77073,628.645,628.645
60,77075,1345.262,1064.7
61,77076,453.21857142857147,440.0
